id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 09:00:00;24172.57;7032.828;3691.261;29574.151;64470.81;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 09:00:00;14497.08299999;5113.326;8.963;15792.937;36461.69899999;-1049.39
S;SUL;2026-01-01 09:00:00;4213.196;153.076;237.653;3455.969;10079.411;-2019.517
NE;NORDESTE;2026-01-01 10:00:00;1814.636;568.344;1916.513;8797.797;10723.006;2374.284
N;NORTE;2026-01-01 10:00:00;3754.77399999;1189.75399999;155.116;1926.432;7206.95599999;-180.88
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 10:00:00;24581.105;6973.274;2318.356;31549.271;65422.01;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 10:00:00;14631.81799999;5069.679;6.0;16650.599;37232.87099999;-874.775
S;SUL;2026-01-01 10:00:00;4379.877;145.497;240.72699999;4174.443;10259.173;-1318.62899999
NE;NORDESTE;2026-01-01 11:00:00;1809.33599999;566.477;1983.48699999;8827.167;10707.422;2479.045
N;NORTE;2026-01-01 11:00:00;3757.972;1178.01399999;154.76;2091.04799999;7371.07;-189.27599999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 11:00:00;24592.875;6916.287;2403.596;32613.701;66526.46;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 11:00:00;14609.99999999;5030.975;6.0;17236.77199999;38218.763;-1335.016
S;SUL;2026-01-01 11:00:00;4415.56699999;140.821;259.349;4458.714;10229.204;-954.753
NE;NORDESTE;2026-01-01 12:00:00;1801.121;569.606;2171.521;8795.30599999;10507.37999999;2830.174
N;NORTE;2026-01-01 12:00:00;3700.984;1172.225;198.165;2020.274;7318.75;-227.10199999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 12:00:00;24349.369;6882.231;2649.309;32190.638;66071.55;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 12:00:00;14530.76399999;4997.504;7.163;17175.04799999;38289.34299999;-1578.864
S;SUL;2026-01-01 12:00:00;4316.5;142.896;272.45999999;4200.01;9956.074;-1024.208
NE;NORDESTE;2026-01-01 13:00:00;1808.14399999;571.961;2071.78899999;8965.792;10112.22099999;3305.465
N;NORTE;2026-01-01 13:00:00;3741.869;1168.37199999;227.349;1887.842;7231.799;-206.367
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 13:00:00;24367.289;6884.869;2720.748;30537.697;64510.6;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 13:00:00;14497.09399999;5002.301;7.0;15755.88599999;37136.13399999;-1873.853
S;SUL;2026-01-01 13:00:00;4320.182;142.235;414.61;3928.177;10030.449;-1225.24499999
NE;NORDESTE;2026-01-01 14:00:00;1816.147;553.982;3614.705;8713.91199999;10110.59699999;4588.14899999
N;NORTE;2026-01-01 14:00:00;3822.189;1158.861;212.799;1590.271;7237.163;-453.04299999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 14:00:00;24654.264;6885.158;4493.628;28113.254;64146.3;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 14:00:00;14651.469;5012.67;7.0;14069.656;36408.197;-2667.402
S;SUL;2026-01-01 14:00:00;4364.459;159.645;659.124;3739.415;10390.347;-1467.704
NE;NORDESTE;2026-01-01 15:00:00;1812.731;544.398;5899.98599999;8173.281;10544.71399999;5885.682
N;NORTE;2026-01-01 15:00:00;3779.994;1242.26799999;188.143;1235.59999999;7419.77699999;-973.772
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 15:00:00;26577.823;7190.928;6983.964;25066.205;65818.92;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 15:00:00;16578.38399999;5258.163;14.173;12378.638;36949.782;-2720.424
S;SUL;2026-01-01 15:00:00;4406.714;146.09899999;881.662;3278.686;10904.647;-2191.486
NE;NORDESTE;2026-01-01 16:00:00;2170.087;646.79099999;7281.518;5104.40599999;11229.286;3973.516
N;NORTE;2026-01-01 16:00:00;4581.931;1427.887;246.677;772.983;7458.977;-429.49899999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 16:00:00;33922.083;8254.021;8441.864;17997.296;68615.26;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 16:00:00;21391.26699999;6034.765;56.174;9739.91099999;38635.63999999;-1413.523
S;SUL;2026-01-01 16:00:00;5778.798;144.578;857.495;2379.996;11291.361;-2130.494
NE;NORDESTE;2026-01-01 17:00:00;3521.742;646.314;8201.04899999;1081.988;11968.283;1482.81
N;NORTE;2026-01-01 17:00:00;6352.664;1480.22599999;304.262;291.11699999;7338.982;1089.287
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 17:00:00;46432.577;8985.164;9333.659;6862.448;71613.85;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 17:00:00;27731.30299999;6738.18699999;12.348;4155.71599999;40598.94999999;-1961.39599999
S;SUL;2026-01-01 17:00:00;8826.868;120.437;816.0;1333.627;11707.633;-610.701
NE;NORDESTE;2026-01-01 18:00:00;5141.877;653.004;8648.157;26.08099999;13376.966;1092.153
N;NORTE;2026-01-01 18:00:00;8028.15299999;1530.407;306.995;38.516;7514.611;2389.46
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 18:00:00;55922.292;9352.685;9626.036;984.442;75885.46;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 18:00:00;30621.402;7011.967;8.618;491.173;42977.229;-4844.06899999
S;SUL;2026-01-01 18:00:00;12130.86;157.307;662.266;428.672;12016.649;1362.45599999
NE;NORDESTE;2026-01-01 19:00:00;5599.08199999;663.273;9706.225;3.936;13759.736;2212.78
N;NORTE;2026-01-01 19:00:00;9136.608;1550.172;290.97699999;2.785;7946.607;3033.935
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 19:00:00;61527.097;9458.703;10469.418;33.288;81488.51;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 19:00:00;32808.812;7047.769;11.357;15.921;46811.653;-6927.794
S;SUL;2026-01-01 19:00:00;13982.595;197.489;460.859;10.64599999;12970.51;1681.079
NE;NORDESTE;2026-01-01 20:00:00;5575.509;667.808;9284.55299999;0.0;13895.78999999;1632.08
N;NORTE;2026-01-01 20:00:00;10841.852;1561.898;305.023;0.0;8170.597;4538.17599999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 20:00:00;64122.882;9458.859;9994.566;1.0;83577.31;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 20:00:00;33878.22599999;7050.143;22.733;0.0;47803.48899999;-6852.387
S;SUL;2026-01-01 20:00:00;13827.29499999;179.01;382.25699999;1.0;13707.43099999;682.131
NE;NORDESTE;2026-01-01 21:00:00;5348.67299999;677.629;8858.255;0.0;14381.36;503.197
N;NORTE;2026-01-01 21:00:00;12752.03599999;1568.625;325.748;0.0;8476.03399999;6170.375
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 21:00:00;65567.194;9477.599;9495.912;1.0;84541.71;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 21:00:00;34128.46799999;7062.333;22.914;0.0;47998.65399999;-6784.939
S;SUL;2026-01-01 21:00:00;13338.017;169.012;288.995;1.0;13685.657;111.367
NE;NORDESTE;2026-01-01 22:00:00;4931.862;669.98;7738.38499999;0.0;14734.7;-1394.473
N;NORTE;2026-01-01 22:00:00;13439.516;1576.781;341.669;0.0;8667.94999999;6690.016
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 22:00:00;66472.331;9490.468;8277.118;1.0;84240.92;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-01 22:00:00;34119.35899999;7073.196;13.591;0.0;47433.18999999;-6227.044
S;SUL;2026-01-01 22:00:00;13981.59399999;170.511;183.473;1.0;13405.07699999;931.501
NE;NORDESTE;2026-01-01 23:00:00;4396.001;668.323;6692.67399999;0.0;14701.132;-2944.134
